city,month,type,value
大庆,202101.csv,SO2,15.63
大理州,202101.csv,AQI,33.0
大理州,202101.csv,CO,0.65
大理州,202101.csv,NO2,14.25
大理州,202101.csv,O3,68.09
大理州,202101.csv,PM10,28.21
大理州,202101.csv,PM2.5,19.3
大理州,202101.csv,SO2,6.01
大连,202101.csv,AQI,60.25
大连,202101.csv,CO,0.78
大连,202101.csv,NO2,32.13
大连,202101.csv,O3,46.81
大连,202101.csv,PM10,65.97
大连,202101.csv,PM2.5,35.74
大连,202101.csv,SO2,13.93
天水,202101.csv,AQI,85.63
天水,202101.csv,CO,1.18
天水,202101.csv,NO2,47.63
天水,202101.csv,O3,26.88
天水,202101.csv,PM10,108.47
天水,202101.csv,PM2.5,54.95
天水,202101.csv,SO2,15.97
天津,202101.csv,AQI,84.61
天津,202101.csv,CO,1.05
天津,202101.csv,NO2,49.47
天津,202101.csv,O3,28.19
天津,202101.csv,PM10,94.36
天津,202101.csv,PM2.5,50.16
天津,202101.csv,SO2,10.85
太仓,202101.csv,AQI,67.86
太仓,202101.csv,CO,0.85
太仓,202101.csv,NO2,47.94
太仓,202101.csv,O3,39.61
太仓,202101.csv,PM10,77.77
太仓,202101.csv,PM2.5,42.24
太仓,202101.csv,SO2,9.86
太原,202101.csv,AQI,122.89
太原,202101.csv,CO,1.0
太原,202101.csv,NO2,42.48
太原,202101.csv,O3,38.32
太原,202101.csv,PM10,183.0
太原,202101.csv,PM2.5,68.42
太原,202101.csv,SO2,25.97
威海,202101.csv,AQI,56.88
威海,202101.csv,CO,0.69
威海,202101.csv,NO2,22.96
威海,202101.csv,O3,54.04
威海,202101.csv,PM10,62.95
威海,202101.csv,PM2.5,33.52
威海,202101.csv,SO2,5.16
娄底,202101.csv,AQI,95.32
娄底,202101.csv,CO,1.11
娄底,202101.csv,NO2,41.76
娄底,202101.csv,O3,41.14
娄底,202101.csv,PM10,101.62
娄底,202101.csv,PM2.5,68.79
娄底,202101.csv,SO2,10.5
孝感,202101.csv,AQI,93.5
孝感,202101.csv,CO,1.02
孝感,202101.csv,NO2,34.72
孝感,202101.csv,O3,33.31
孝感,202101.csv,PM10,115.48
孝感,202101.csv,PM2.5,58.59
孝感,202101.csv,SO2,7.96
宁德,202101.csv,AQI,53.97
宁德,202101.csv,CO,0.74
宁德,202101.csv,NO2,24.55
宁德,202101.csv,O3,44.44
宁德,202101.csv,PM10,55.61
宁德,202101.csv,PM2.5,31.89
宁德,202101.csv,SO2,4.64
宁波,202101.csv,AQI,60.65
宁波,202101.csv,CO,0.77
宁波,202101.csv,NO2,47.02
宁波,202101.csv,O3,38.82
宁波,202101.csv,PM10,71.5
宁波,202101.csv,PM2.5,35.76
宁波,202101.csv,SO2,10.61
安庆,202101.csv,AQI,88.39
安庆,202101.csv,CO,0.82
安庆,202101.csv,NO2,40.91
安庆,202101.csv,O3,34.76
安庆,202101.csv,PM10,93.27
安庆,202101.csv,PM2.5,58.56
安庆,202101.csv,SO2,10.59
安康,202101.csv,AQI,89.5
安康,202101.csv,CO,1.01
安康,202101.csv,NO2,37.43
安康,202101.csv,O3,31.87
安康,202101.csv,PM10,95.61
安康,202101.csv,PM2.5,63.15
安康,202101.csv,SO2,12.84
安阳,202101.csv,AQI,142.16
安阳,202101.csv,CO,1.5
安阳,202101.csv,NO2,49.1
安阳,202101.csv,O3,31.88
安阳,202101.csv,PM10,173.56
安阳,202101.csv,PM2.5,91.16
安阳,202101.csv,SO2,17.76
安顺,202101.csv,AQI,50.18
安顺,202101.csv,CO,0.84
安顺,202101.csv,NO2,20.19
安顺,202101.csv,O3,57.56
安顺,202101.csv,PM10,44.0
安顺,202101.csv,PM2.5,35.66
安顺,202101.csv,SO2,30.08
定西,202101.csv,AQI,71.5
定西,202101.csv,CO,1.0
定西,202101.csv,NO2,35.23
定西,202101.csv,O3,33.32
定西,202101.csv,PM10,91.67
定西,202101.csv,PM2.5,41.66
定西,202101.csv,SO2,26.55
宜兴,202101.csv,AQI,75.46
宜兴,202101.csv,CO,1.08
宜兴,202101.csv,NO2,43.46
宜兴,202101.csv,O3,34.8
宜兴,202101.csv,PM10,93.52
